Region/Country,Percentage of cultures with AMR 2019,Percentage of cultures with AMR 2020,Percentage of cultures with AMR 2021,Percentage of cultures with AMR 2022,Relative percent change 2019-2020,Relative percent change 2020-2021,Relative percent change 2021-2022,Cultures per million inhabitants (CPM) 2019,Cultures per million inhabitants (CPM) 2020,Cultures per million inhabitants (CPM) 2021,Cultures per million inhabitants (CPM) 2022,Population Weight,CPM Weight,Precision Weight
Portugal,25.5,25.1,23.2,25.1,-1.3,-7.9,8.3,1760,1651,1579,1642,0.0028,1,1
Romania,38.7,44.5,45.8,39.3,15,3,-14.1,117,96,106,136,0.0052,0.2472,0.7916
Slovakia,33.4,36.8,43.8,34.8,10,19,-20.6,445,413,438,430,0.0015,1,0.8767
Slovenia,10.9,11.4,11.4,11.4,4.9,0.4,-0.5,1843,1825,1922,1923,0.0006,1,1
Spain,16.6,16.9,16.4,17.6,1.5,-2.6,7,455,417,400,533,0.0128,1,1
Sweden,7.9,7.9,7.1,7.6,0.7,-10.7,6.6,2192,2265,2434,2435,0.0028,1,1
United Kingdom,11.7,10.9,11.6,11.6,-6.8,6.3,0,908,772,1064,1990,0.018,1,1
Argentina,40.9,43.3,53.5,50.8,5.9,23.5,-5.2,148,211,205,127,0.0121,0.5094,1
Bolivia,54.2,58.2,53,53.6,7.3,-8.9,1.1,151,146,415,185,0.0032,0.6864,1
Colombia,19.8,27.9,27.7,16.4,40.9,-0.5,-41,1102,1337,1215,1174,0.0136,1,1
Costa Rica,23.7,27.8,19.6,2.9,17.1,-29.5,-85.4,63,58,51,55,0.0013,0.1327,0.3486
Dominican Republic,64.2,64.2,64.4,41.6,0,0.3,-35.4,67,52,42,371,0.0029,0.1142,0.4206
Ecuador,53.7,55.6,39.4,46.5,3.7,-29.1,18,1187,676,943,507,0.0047,1,1
Guatemala,52.8,47.8,40.9,44,-9.5,-14.4,7.5,16,119,64,708,0.0046,0.2246,0.7077
Nicaragua,26.8,62,23.6,57.8,131.6,-61.9,144.6,569,355,920,272,0.0018,1,1
Paraguay,49.5,73,84.4,40.5,47.6,15.6,-52.1,309,77,139,470,0.0018,0.2647,0.599
Australia,,7.5,6.8,6.7,,-9,-2.2,,703,714,765,0.0069,1,1
Austria,,9.2,8.6,8.6,,-6.7,-0.4,,1460,1531,1407,0.0024,1,1
Bahrain,,61.6,63.8,59.5,,3.6,-6.7,,451,533,434,0.0004,1,0.4971
Belgium,,11.6,10,10.4,,-13.5,3.1,,908,977,929,0.0031,1,1
Brunei,,16.5,13,12.2,,-21.5,-5.7,,1674,1270,974,0.0001,1,0.6441
Bulgaria,,59.8,58.4,60.2,,-2.3,2.9,,147,146,146,0.0019,0.3583,0.5771
Croatia,,25.4,33,27.4,,30.2,-17,,553,552,693,0.0011,1,0.9207
Cyprus,,40.5,42,47.1,,3.8,12.1,,309,508,640,0.0003,1,0.4142
Czechia,,24.1,27,25.8,,12.1,-4.4,,847,864,989,0.0028,1,1
Denmark,,6.6,6,6.3,,-8.7,5.6,,2250,2275,2237,0.0016,1,1
Estonia,,8.9,9.1,12.4,,2.2,36.9,,1773,1750,1857,0.0004,1,1
